1,1,16
,,
,7,1
,2,16
,4,16
,5,16
,124,1
,125,1
,128,64
,169,64
,170,64
,173,64
,174,64
,175,64
,178,64
,179,64
,182,64
,183,64
,181,64
,180,64
,173,1
,178,1
,125,64
,171,64
,172,64
,179,1
,128,1
,129,1
,174,1
,175,1
,180,1
,182,1
,231,1
,202,66
,202,1
,655,70
,656,70
,657,70
,658,70
,659,70
,660,70
,661,70
,662,70
,663,70
,664,70
,665,70
,666,70
,667,70
,668,70
,669,70
,670,70
,671,70
,672,70
,673,70
,674,70
,675,70
,677,70
,678,70
,701,70
,702,70
,738,70
,551,66
,655,1
,659,1
,657,1
,656,1
,1,1
,661,1
,663,1
,664,1
,668,1
,658,1
,667,1
,660,1
,5,1
,3,1
,6,1
,557,1
,710,1
,4,1
,170,1
,658,134
,657,134
,660,134
,666,1
,666,134
,665,134
,662,134
,172,1
,1660,156
,1836,156
,1928,197
,3,16
